"SEX","AGE","P","E","N"
1,63,23.6666666666667,24.6666666666667,6
2,20,21.6666666666667,18,16.3333333333333
2,25,28,24.6666666666667,2
2,23,9.66666666666667,21,4
2,60,24.6666666666667,19.3333333333333,22.6666666666667
1,46,19.6666666666667,19,3.33333333333333
1,45,9.33333333333333,12.6666666666667,9
2,33,9,18.6666666666667,22
1,37,20.3333333333333,20.3333333333333,10
1,52,9.33333333333333,15,5
2,49,12.6666666666667,18.3333333333333,18
1,49,15.6666666666667,27.6666666666667,5
1,62,16.6666666666667,25.6666666666667,9.33333333333333
1,16,24.3333333333333,14.6666666666667,12.6666666666667
1,55,26,21.6666666666667,22
1,20,30.3333333333333,22.3333333333333,7.33333333333333
2,50,11,19.6666666666667,6.33333333333333
2,41,11.3333333333333,15,10.6666666666667
1,78,16,15,11.3333333333333
2,44,15,9.33333333333333,34
1,79,16.6666666666667,19.6666666666667,7
2,65,19.6666666666667,24,14.3333333333333
1,70,9.33333333333333,16,15.3333333333333
1,35,15,21.3333333333333,2
